,longitude,latitude,name,category
0,4.8446149,45.7685340003769,La Banque Postale,bank
1,4.8484687,45.7712079003765,La Banque Postale,bank
2,4.8692027,45.7367794003813,La Banque Postale,bank
3,4.8773895,45.7285764003825,La Banque Postale,bank
4,4.8704259,45.7435496003804,La Banque Postale,bank
5,4.8854223,45.7308692003822,La Banque Postale,bank
6,4.8532761,45.7364981003814,La Banque Postale,bank
7,4.8628995,45.7275310003826,La Banque Postale,bank
8,4.8324288,45.7543060003789,Più Tigeleria,restaurant
9,4.835004,45.7759280003758,Alebrije,restaurant
10,4.8298054,45.7307288003822,La Banque Postale,bank
11,4.8390689,45.7459787003801,La Banque Postale,bank
12,4.8127219,45.7578375003784,La Banque Postale,bank
13,4.8521023,45.7519616003792,La boutique de l'entraide,clothes
14,4.8409227,45.7574517003784,Holland Bikes,bicycle
15,4.7963434,45.7718822003764,Garage de l'Europe,car_repair
16,4.8565029,45.7634859003776,La Banque Postale,bank
17,4.886935,45.7498774003795,La Banque Postale,bank
18,4.8183668,45.7421950003806,La Banque Postale,bank
19,4.8340596,45.7559011003787,La Banque Postale,bank
20,4.8345195,45.7664615003771,La Banque Postale,bank
21,4.8280017,45.7649463003774,Les fines gueules,restaurant
22,4.8508261,45.7569563003785,Canaille & Pétrin,bakery
23,4.8549331,45.7671843003771,Novidia Studio,photographer
24,4.8376769,45.753241100379,Botani,restaurant
25,4.8070911,45.7805105003752,Baralinge,houseware
26,4.8351053,45.7620799003778,Culina in Via,fast_food
27,4.8511153,45.7475637003798,Bébé 9,baby_goods
28,4.8696162,45.7638452003775,Haru Sushi Bar,restaurant
29,4.8450802,45.7594830003782,Les ateliers de l'audace,bicycle
30,4.8275832,45.774566100376,,bar
31,4.8470795,45.7493853003796,France Pare-Brise,car_repair
32,4.8048642,45.7795005003753,Saveur d'ailleurs (Afrique et outre-mer),convenience
33,4.8429921,45.7591646003782,Copain comme Canard,restaurant
34,4.8473158,45.7561817003786,U Express,supermarket
35,4.8803875,45.7479838003798,Yo Color,hairdresser
36,4.86761,45.7566388003786,Velograma,bicycle
37,4.8674941,45.7566433003786,Ko Pain,restaurant
38,4.819855,45.788711000374,,hairdresser
39,4.8327002,45.7690183003768,WeDressFair,clothes
40,4.8556699,45.7620919003778,Michel Dervyn Lyon La Part Dieu,hairdresser
41,4.8347591,45.7664994003771,Bao Time,fast_food
42,4.8294574,45.775035000376,Burning Cat,bar
43,4.8309122,45.767563400377,Elephant Vintage Store,clothes
44,4.8259584,45.7445700003803,The Hill Club,restaurant
45,4.8742107,45.7501900003795,Cordonnerie Jacques,shoemaker
46,4.8307092,45.7601886003781,Citiz,car_rental
47,4.8456573,45.7291451003824,Compagnie des sens,cosmetics
48,4.8321913,45.7653910003773,LA LOGE,hairdresser
49,4.8741619,45.7502002003795,Gema Bat,builder
50,4.8361329,45.7769460003757,Garance,atelier
51,4.8361606,45.7774426003756,Atelier Là-Haut,atelier
52,4.829683,45.7587327003783,Machi Machi,tea
53,4.8419706,45.7636891003776,Cerise et Potiron,greengrocer
54,4.8512483,45.7702951003766,Studio r,hairdresser
55,4.8323922,45.7768317003757,Le Salon,hairdresser
56,4.7978696,45.7565519003786,Salon Quentin Memin Lyon 5eme- coiffeur Lyon,hairdresser
57,4.867006,45.7541418003789,Audition Conseil,hearing_aids
