,longitude,latitude,name,category
0,4.833453,45.731075,Debourg,arret_tram_T6
1,4.84356,45.729665,Challemel-Lacour – Artillerie,arret_tram_T6
2,4.853131,45.72953,Moulin à Vent,arret_tram_T6
3,4.858817,45.731032,Petite Guille,arret_tram_T6
4,4.862768,45.727738,Beauvisage – Pressensé,arret_tram_T6
5,4.867335,45.729717,Beauvisage – CISL,arret_tram_T6
6,4.873442,45.731345,Grange Rouge – Senty,arret_tram_T6
7,4.878549,45.73309,Mermoz – Californie,arret_tram_T6
8,4.882168,45.732293,Mermoz – Moselle,arret_tram_T6
9,4.887355,45.73067,Mermoz – Pinel,arret_tram_T6
10,4.890014,45.735534,Essarts – Laënnec,arret_tram_T6
11,4.893205,45.738853,Desgenettes,arret_tram_T6
12,4.894066,45.742444,Vinatier,arret_tram_T6
13,4.896812,45.747591,Hôpitaux Est – Pinel,arret_tram_T6
