,longitude,latitude,name,category
0,4.833453,45.731075,Debourg,arret_tram_T1
1,4.828896,45.731417,ENS Lyon,arret_tram_T1
2,4.823099,45.731736,Halle Tony Garnier,arret_tram_T1
3,4.818668,45.733698,Musée des Confluences,arret_tram_T1
4,4.819023,45.740604,Hôtel de Région – Montrochet,arret_tram_T1
5,4.822116,45.744213,Sainte-Blandine,arret_tram_T1
6,4.824597,45.747144,Place des Archives,arret_tram_T1
7,4.826965,45.749554,Perrache,arret_tram_T1
8,4.835261,45.749655,Quai Claude-Bernard,arret_tram_T1
9,4.838989,45.751153,Rue de l’Université,arret_tram_T1
10,4.840998,45.752901,Saint-André,arret_tram_T1
11,4.842916,45.755306,Guillotière – Gabriel-Péri,arret_tram_T1
12,4.842474,45.75888,Liberté,arret_tram_T1
13,4.845212,45.760123,Saxe – Préfecture,arret_tram_T1
14,4.848431,45.76034,Palais de Justice – Maire du 3<sup>e</sup>,arret_tram_T1
15,4.853801,45.760708,Part-Dieu – Auditorium,arret_tram_T1
16,4.857851,45.761721,Gare Part-Dieu – Vivier-Merle,arret_tram_T1
17,4.86203,45.764314,Thiers – Lafayette,arret_tram_T1
18,4.86192,45.76666,Collège Bellecombe,arret_tram_T1
19,4.863397,45.770453,Charpennes – Charles-Hernu,arret_tram_T1
20,4.864049,45.774084,Le Tonkin,arret_tram_T1
21,4.866919,45.77794,Condorcet,arret_tram_T1
22,4.866297,45.780873,Université Lyon 1,arret_tram_T1
23,4.872096,45.781522,La Doua – Gaston-Berger,arret_tram_T1
24,4.877629,45.78245,INSA – Einstein,arret_tram_T1
25,4.883165,45.783686,Croix Luizet,arret_tram_T1
26,4.881932,45.786877,IUT – Feyssine,arret_tram_T1
