,longitude,latitude,name,category
0,4.872096,45.781522,La Doua – Gaston-Berger,arret_tram_T4
1,4.866297,45.780873,Université Lyon 1,arret_tram_T4
2,4.866919,45.77794,Condorcet,arret_tram_T4
3,4.864049,45.774084,Le Tonkin,arret_tram_T4
4,4.863397,45.770453,Charpennes – Charles-Hernu,arret_tram_T4
5,4.86192,45.76666,Collège Bellecombe,arret_tram_T4
6,4.86203,45.764314,Thiers – Lafayette,arret_tram_T4
7,4.861917,45.760128,Gare Part-Dieu – Villette,arret_tram_T4
8,4.861765,45.754308,Archives Départementales,arret_tram_T4
9,4.860325,45.750107,Manufacture – Montluc,arret_tram_T4
10,4.85908,45.745802,Lycée Colbert,arret_tram_T4
11,4.858749,45.739885,Jet d’Eau – Mendès-France,arret_tram_T4
12,4.861716,45.736929,Lycée Lumière,arret_tram_T4
13,4.864776,45.732966,États-Unis – Musée Tony Garnier,arret_tram_T4
14,4.867335,45.729717,Beauvisage – CISL,arret_tram_T4
15,4.871077,45.724901,États-Unis – Viviani,arret_tram_T4
16,4.878372,45.715508,Joliot-Curie – Marcel-Sembat,arret_tram_T4
17,4.881983,45.711231,La Borelle,arret_tram_T4
18,4.88794,45.705363,Gare de Vénissieux,arret_tram_T4
19,4.887612,45.700118,Croizat – Paul-Bert,arret_tram_T4
20,4.884544,45.696489,Marcel-Houël – Hôtel de Ville,arret_tram_T4
21,4.879925,45.694966,Lycée Jacques Brel,arret_tram_T4
22,4.875339,45.693866,Herriot – Cagne,arret_tram_T4
23,4.871905,45.696045,Vénissy,arret_tram_T4
24,4.868073,45.69852,Division-Leclerc,arret_tram_T4
25,4.863416,45.699855,Maurice-Thorez,arret_tram_T4
26,4.861681,45.696794,Lénine – Corsière,arret_tram_T4
27,4.864331,45.69265,Darnaise,arret_tram_T4
28,4.865211,45.68848,Hôpital – Feyzin – Vénissieux,arret_tram_T4
