,longitude,latitude,name,category
0,4.836012,45.767785,Hôtel de Ville – Louis-Pradel,station_metro_C
1,4.836323,45.770868,Croix-Paquet,station_metro_C
2,4.831983,45.774371,Croix-Rousse,station_metro_C
3,4.827493,45.779586,Hénon,station_metro_C
4,4.832869,45.785407,Cuire,station_metro_C
