X;Y;osm_id;name;type;type_fr;statut;ref_uai;wikidata;com_insee;com_nom
4.8386999499312;45.7517958883866;way/297097958;École primaire privée Saint-André;school;primaire;private;0692014P;;"69123";Lyon
4.84002911682077;45.7525958835012;way/297099915;Lycée Belmont-Capdepon;school;lycée;private;0690536H;;"69123";Lyon
4.83926888677457;45.7465752878983;way/297101081;École primaire privée Saint-Michel;school;primaire;private;0692016S;;"69123";Lyon
4.85840005931283;45.7491687422695;way/297494297;Lycée général privé Chevreul;school;lycée;private;0690574Z;;"69123";Lyon
4.84328171267312;45.7532227231768;way/301666707;École maternelle Gilbert Dru;school;maternelle;public;0691174B;;"69123";Lyon
4.84354586315935;45.7534040736999;way/301666708;École primaire Gilbert Dru;school;primaire;public;0690435Y;;"69123";Lyon
4.83963274080895;45.7529214650057;way/301668124;École maternelle Pasteur;school;maternelle;public;0692499S;;"69123";Lyon
4.83927269482616;45.7529530803816;way/301668125;École primaire Cavenne;school;primaire;public;0690431U;;"69123";Lyon
4.8589211636006;45.7491990972325;way/301675033;Collège Chevreul-Lestonnac;school;collège;private;0692922B;;"69123";Lyon
4.85887120041332;45.7486671012018;way/301675034;Lycée professionnel Chevreul-Lestonnac;school;lycée;private;0693372R;;"69123";Lyon
4.85890507566861;45.7489076913134;way/301675035;Lycée technologique Chevreul-Lestonnac;school;lycée;private;0690535G;;"69123";Lyon
4.85918488672882;45.7492085320263;way/301675036;École primaire privée Chevreul - Lestonnac;school;primaire;private;0692011L;;"69123";Lyon
4.81443356072397;45.7902949779062;way/310260408;École primaire Antonin Laborde;school;primaire;public;0693957B;;"69123";Lyon
4.80201073363286;45.7767513800511;way/310285319;École maternelle Audrey Hepburn;school;maternelle;public;0691158J;;"69123";Lyon
4.80260459067957;45.7770787520021;way/310285321;École élémentaire Audrey Hepburn;school;élémentaire;public;0690409V;;"69123";Lyon
4.82625278899973;45.777276078657;way/314155209;Collège Jean-Baptiste de la Salle;school;collège;private;0692505Y;;"69123";Lyon
4.82446805509733;45.7808896935656;way/314172864;Collège Clément Marot;school;collège;public;0691662G;;"69123";Lyon
4.86745588896569;45.7506839500737;way/320427571;École Élémentaire Gabriel Nové-Josserand;school;;public;0690922C;;"69123";Lyon
4.82532320188511;45.7966316535971;way/352892622;La CinéFabrique;college;lycée;private;0694239H;Q55596371;"69123";Lyon
4.87609229802386;45.7488254204482;way/360522749;École Émile Cohl;college;;;;;"69123";Lyon
4.8366885490413;45.7723537669921;way/366705782;École primaire Michel Servet;school;primaire;public;0693219Z;;"69123";Lyon
4.82111217829167;45.7552158989108;way/40294920;Classes préparatoires à CPE Lyon;college;;;;;"69123";Lyon
4.82024699220944;45.755489992007;way/40551162;École maternelle Mathilde Siraud;school;maternelle;public;0691045L;;"69123";Lyon
4.82168363779064;45.7806133889108;way/414827603;Cité scolaire Antoine de Saint-Exupéry;school;lycée;public;0690031J;;"69123";Lyon
4.85761073027014;45.7717949075563;way/431078217;Lycée du Parc;school;lycée;public;0690026D;Q8484;"69123";Lyon
4.88747313592683;45.7388803904312;way/437948348;Faculté de médecine Laennec - Domaine de la Buire;university;;;;;"69123";Lyon
4.87141478522104;45.7368133797379;way/437948351;École La Mache;school;lycée;private;"0693374T;0690634P";Q28494382;"69123";Lyon
4.87862179421654;45.742176277806;way/437948352;Ecole paramédicale Rockefeller;college;;;0692187C;;"69123";Lyon
4.86825799619481;45.7381393396777;way/438075187;ORT Lyon;school;secondaire;private;"0694087T;0690642Y;0693406C";;"69123";Lyon
4.8405034474163;45.7292365465347;way/439396104;Collège Gabriel Rosset;school;collège;public;0692578C;;"69123";Lyon
4.83378844738896;45.7291889748032;way/439396105;École maternelle Aristide Briand;school;maternelle;public;0691180H;;"69123";Lyon
4.83427974856737;45.7351383294027;way/439396106;École primaire privée Internationale Le Petit Monde;school;primaire;private;0693638E;;"69123";Lyon
4.87018951214199;45.7447359438642;way/439401299;Groupe scolaire Lumière;school;;;;;"69123";Lyon
4.85985255700488;45.74501374703;way/439401318;Lycée général et technologique Colbert;school;lycée;public;0690042W;;"69123";Lyon
4.87296695960363;45.7477430588023;way/439401332;École maternelle Harmonie;school;maternelle;public;0691057Z;;"69123";Lyon
4.86700758584435;45.7437577267074;way/439401348;École maternelle Paul-Emile Victor;school;maternelle;public;0691161M;;"69123";Lyon
4.87266454816444;45.7471278102316;way/439401360;École primaire Rebatel-Harmonie;school;primaire;public;0693761N;;"69123";Lyon
4.8061092496194;45.7570816182579;way/439433774;Lycée et Collège La Favorite;school;secondaire;private;"0690520R;0692937T";;"69123";Lyon
4.80506319099599;45.7556200779828;way/439433778;École privée La Favorite;school;primaire;private;0691964K;;"69123";Lyon
4.800730549231;45.7608337169035;way/439433779;École maternelle François Truffaut;school;maternelle;public;0692824V;;"69123";Lyon
4.78060195066604;45.7516045522653;way/439437330;Collège Les Battières;school;collège;public;0691798E;;"69123";Lyon
4.78001740539248;45.7496176954866;way/439437331;École primaire privée bilingue West Point;school;primaire;private;0693608X;;"69123";Lyon
4.82403413186136;45.7641838426208;way/439626399;École Catholique d'Arts et Métiers de Lyon;university;;private;0690194L;Q3577727;"69123";Lyon
4.8259003264804;45.7654949474643;way/439626400;Lycée Sainte-Marie;school;lycée;private;0690521S;Q3464368;"69123";Lyon
4.81866059017355;45.764223110219;way/439626401;Sainte-Marie - La Solitude;school;primaire;private;"0692921A;0691965L";;"69123";Lyon
4.82569623691668;45.764500606578;way/439626404;Lycée général et technologique privé Aux Lazaristes;school;lycée;private;0690522T;;"69123";Lyon
4.82825519790358;45.7650268344714;way/439820821;Groupe scolaire Jean Gerson;school;;;;;"69123";Lyon
4.81541725537021;45.7613682783167;way/439820824;École maternelle La Sarra;school;maternelle;public;0691042H;;"69123";Lyon
4.86456264355245;45.7532697931371;way/439958160;Collège Gilbert Dru;school;collège;public;0694007F;Q109120604;"69123";Lyon
4.87029465500946;45.7512327553281;way/439958162;École primaire publique Montbrillant;school;primaire;public;0693993R;;"69123";Lyon
4.81949669615643;45.7781371106138;way/440034913;École maternelle Jean de la Fontaine;school;maternelle;public;0693990M;;"69123";Lyon
4.82009209389993;45.7783361327251;way/440034914;École maternelle Jean de la Fontaine;school;maternelle;public;0693990M;;"69123";Lyon
4.81802169327883;45.7800261659419;way/440034915;École primaire privée Charles Demia;school;primaire;private;0691995U;;"69123";Lyon
4.81996144860294;45.778824790419;way/440034916;École élémentaire d'application La Fontaine;school;primaire;public;0693836V;;"69123";Lyon
4.83123510588706;45.7792033191993;way/440037120;Collège privé Saint-Denis;school;collège;private;0690601D;;"69123";Lyon
4.83535744849288;45.7792616698173;way/440037121;Groupe scolaire Commandant Arnaud;school;;;;;"69123";Lyon
4.82956920628262;45.7770391235998;way/440037122;Lycée professionnel Camille Claudel;school;lycée professionnel;public;0690125L;;"69123";Lyon
4.83124185380452;45.7797874863928;way/440037123;École maternelle Les Petits Canuts;school;maternelle;public;0693037B;;"69123";Lyon
4.83141389782517;45.7802659789733;way/440037124;École primaire privée Saint-Denis;school;primaire;private;0691999Y;;"69123";Lyon
4.86264417943999;45.7668082672276;way/440129324;Collège Bellecombe;school;collège;public;0691663H;;"69123";Lyon
4.87328879536816;45.7605968368265;way/440129327;Collège Louis Jouvet;school;collège;public;"0693128A;0691675W";;"69123";Lyon
4.84455140674452;45.7576341584713;way/440129335;Groupe scolaire Paul Painlevé;school;;;;;"69123";Lyon
4.86498278436678;45.7587416405438;way/440129345;École Charial;school;;;;;"69123";Lyon
4.86755409407804;45.7601613787161;way/440129347;École maternelle Laurent Mourguet;school;maternelle;public;0693297J;Q61277672;"69123";Lyon
4.8674258462566;45.7596398647877;way/440129348;École élémentaire Pompidou;school;élémentaire;public;0693474B;;"69123";Lyon
4.82014991786088;45.7576871601633;way/441089042;Collège Jean Moulin;school;collège;public;0692696F;;"69123";Lyon
4.82183364148319;45.7562770486087;way/441089044;Lycée de Saint-Just;school;lycée;public;0690028F;;"69123";Lyon
4.81114224334058;45.7572171460152;way/441089048;École maternelle Ferdinand Buisson;school;maternelle;public;0691037C;;"69123";Lyon
4.8117727198822;45.7570895820597;way/441089049;École élémentaire Ferdinand Buisson;school;élémentaire;public;0693116M;;"69123";Lyon
4.81391926576481;45.7571476526883;way/441089050;École primaire privée Saint-Just Saint-Irénée;school;primaire;private;0691959E;;"69123";Lyon
4.81659029902495;45.7578825058802;way/441089051;École primaire publique Albert Camus;school;primaire;public;0693908Y;;"69123";Lyon
4.82303712041682;45.7698114509402;way/445243556;Lycée La Martinière Diderot - Site Diderot;school;lycée;public;0690037R;;"69123";Lyon
4.85145275344955;45.7276391185493;way/448241852;Lycée général privé La Xavière;school;lycée;private;0693587Z;;"69123";Lyon
4.87491208702142;45.7274786763412;way/448241879;École primaire Jean Giono;school;primaire;public;0693511S;;"69123";Lyon
4.80807402648377;45.7795721158098;way/448895133;École maternelle de La Gare d'Eau;school;maternelle;public;0691155F;;"69123";Lyon
4.80762734381208;45.7794920938655;way/448895134;École élémentaire de La Gare d'Eau;school;élémentaire;public;0690406S;;"69123";Lyon
4.83211904353441;45.7549137067992;way/448895271;École primaire publique Michelet;school;primaire;public;0693953X;;"69123";Lyon
4.85074772017526;45.7309222889102;way/457558368;École primaire Marie Bordas;school;primaire;public;0693377W;;"69123";Lyon
4.86559366246745;45.7384899941543;way/457558436;École élémentaire Combe Blanche;school;élémentaire;public;0692744H;;"69123";Lyon
4.86594621254108;45.739016757351;way/457558447;École maternelle Combe Blanche;school;élémentaire;;;;"69123";Lyon
4.86507192093065;45.733912243428;way/457558450;École maternelle Charles Péguy;school;maternelle;public;0691165S;;"69123";Lyon
4.86444022437079;45.7345275600071;way/457558454;École élémentaire Charles Péguy;school;élémentaire;public;0693237U;;"69123";Lyon
4.86184271445002;45.7355173035472;way/457558460;Lycée Auguste et Louis Lumière;school;lycée;public;0690035N;;"69123";Lyon
4.86238837090012;45.7323157159878;way/457558465;Lycée professionnel Jean Lurçat;school;lycée;public;0690045Z;;"69123";Lyon
4.87745480985763;45.7500472328906;way/458935509;École maternelle Jules Verne;school;maternelle;public;0691052U;;"69123";Lyon
4.79416253653339;45.7788112183116;way/46883620;Groupe scolaire Les Fougères;school;élémentaire;public;0690391A;;"69123";Lyon
4.83849740501833;45.7384904014682;way/47074228;Conservatoire National des Arts et Métiers - Campus Lyon Métropole;college;;;;;"69123";Lyon
4.81598459573096;45.7931334379855;way/472042244;Lycée Jean Perrin;school;lycée;public;0690082P;Q3268749;"69123";Lyon
4.81711744729335;45.7941810113719;way/472042245;Collège Jean Perrin;school;collège;public;0692698H;;"69123";Lyon
