,name,link,line,city
0,La Doua – Gaston-Berger,"http://maps.google.fr/?q=45.781522,4.872096",T4,lyon
1,Université Lyon 1,"http://maps.google.fr/?q=45.780873,4.866297",T4,lyon
2,Condorcet,"http://maps.google.fr/?q=45.777940,4.866919",T4,lyon
3,Le Tonkin,"http://maps.google.fr/?q=45.774084,4.864049",T4,lyon
4,Charpennes – Charles-Hernu,"http://maps.google.fr/?q=45.770453,4.863397",T4,lyon
5,Collège Bellecombe,"http://maps.google.fr/?q=45.766660,4.861920",T4,lyon
6,Thiers – Lafayette,"http://maps.google.fr/?q=45.764314,4.862030",T4,lyon
7,Gare Part-Dieu – Villette,"http://maps.google.fr/?q=45.760128,4.861917",T4,lyon
8,Archives Départementales,"http://maps.google.fr/?q=45.754308,4.861765",T4,lyon
9,Manufacture – Montluc,"http://maps.google.fr/?q=45.750107,4.860325",T4,lyon
10,Lycée Colbert,"http://maps.google.fr/?q=45.745802,4.859080",T4,lyon
11,Jet d’Eau – Mendès-France,"http://maps.google.fr/?q=45.739885,4.858749",T4,lyon
12,Lycée Lumière,"http://maps.google.fr/?q=45.736929,4.861716",T4,lyon
13,États-Unis – Musée Tony Garnier,"http://maps.google.fr/?q=45.732966,4.864776",T4,lyon
14,Beauvisage – CISL,"http://maps.google.fr/?q=45.729717,4.867335",T4,lyon
15,États-Unis – Viviani,"http://maps.google.fr/?q=45.724901,4.871077",T4,lyon
16,Joliot-Curie – Marcel-Sembat,"http://maps.google.fr/?q=45.715508,4.878372",T4,lyon
17,La Borelle,"http://maps.google.fr/?q=45.711231,4.881983",T4,lyon
18,Gare de Vénissieux,"http://maps.google.fr/?q=45.705363,4.887940",T4,lyon
19,Croizat – Paul-Bert,"http://maps.google.fr/?q=45.700118,4.887612",T4,lyon
20,Marcel-Houël – Hôtel de Ville,"http://maps.google.fr/?q=45.696489,4.884544",T4,lyon
21,Lycée Jacques Brel,"http://maps.google.fr/?q=45.694966,4.879925",T4,lyon
22,Herriot – Cagne,"http://maps.google.fr/?q=45.693866,4.875339",T4,lyon
23,Vénissy,"http://maps.google.fr/?q=45.696045,4.871905",T4,lyon
24,Division-Leclerc,"http://maps.google.fr/?q=45.698520,4.868073",T4,lyon
25,Maurice-Thorez,"http://maps.google.fr/?q=45.699855,4.863416",T4,lyon
26,Lénine – Corsière,"http://maps.google.fr/?q=45.696794,4.861681",T4,lyon
27,Darnaise,"http://maps.google.fr/?q=45.692650,4.864331",T4,lyon
28,Hôpital – Feyzin – Vénissieux,"http://maps.google.fr/?q=45.688480,4.865211",T4,lyon
