,name,link,line,city
0,Debourg,"http://maps.google.fr/?q=45.731075,4.833453",T6,lyon
1,Challemel-Lacour – Artillerie,"https://maps.google.fr/?q=45.729665,4.843560",T6,lyon
2,Moulin à Vent,"https://maps.google.fr/?q=45.729530,4.853131",T6,lyon
3,Petite Guille,"https://maps.google.fr/?q=45.731032,4.858817",T6,lyon
4,Beauvisage – Pressensé,"https://maps.google.fr/?q=45.727738,4.862768",T6,lyon
5,Beauvisage – CISL,"http://maps.google.fr/?q=45.729717,4.867335",T6,lyon
6,Grange Rouge – Senty,"https://maps.google.fr/?q=45.731345,4.873442",T6,lyon
7,Mermoz – Californie,"https://maps.google.fr/?q=45.733090,4.878549",T6,lyon
8,Mermoz – Moselle,"https://maps.google.fr/?q=45.732293,4.882168",T6,lyon
9,Mermoz – Pinel,"http://maps.google.fr/?q=45.730670,4.887355",T6,lyon
10,Essarts – Laënnec,"https://maps.google.fr/?q=45.735534,4.890014",T6,lyon
11,Desgenettes,"http://maps.google.fr/?q=45.738853,4.893205",T6,lyon
12,Vinatier,"https://maps.google.fr/?q=45.742444,4.894066",T6,lyon
13,Hôpitaux Est – Pinel,"https://maps.google.fr/?q=45.747591,4.896812",T6,lyon
