,name,link,line,city
0,Grange Blanche,"http://maps.google.fr/?q=45.742938,4.878842",T5,lyon
1,Ambroise-Paré,"http://maps.google.fr/?q=45.741523,4.883927",T5,lyon
2,Desgenettes,"http://maps.google.fr/?q=45.738853,4.893205",T5,lyon
3,Essarts – Iris,"http://maps.google.fr/?q=45.737228,4.898140",T5,lyon
4,Boutasse – Camille-Rousset,"http://maps.google.fr/?q=45.734931,4.904462",T5,lyon
5,Hôtel de Ville – Bron,"http://maps.google.fr/?q=45.733411,4.909062",T5,lyon
6,Les Alizés,"http://maps.google.fr/?q=45.731539,4.914727",T5,lyon
7,De-Tassigny – Curial,"http://maps.google.fr/?q=45.735725,4.916999",T5,lyon
8,Lycée Jean-Paul Sartre,"http://maps.google.fr/?q=45.738028,4.922213",T5,lyon
9,Parc du Chêne,"http://maps.google.fr/?q=45.738990,4.926376",T5,lyon
10,Eurexpo,"https://maps.google.fr/?q=45.731895,4.948059",T5,lyon
